Time,Send Rate,New/Total Packets Entering Queue
1,15,1.000000
2,15,1.000000
3,15,1.000000
4,15,1.000000
5,15,1.000000
6,15,1.000000
7,15,1.000000
8,15,1.000000
9,15,1.000000
10,15,1.000000
11,15,1.000000
12,15,1.000000
13,15,1.000000
14,15,1.000000
15,15,1.000000
16,15,1.000000
17,15,0.000000
18,15,0.000000
19,15,0.000000
20,15,0.000000
21,15,0.000000
22,15,0.000000
23,15,0.000000
24,15,0.000000
25,15,0.000000
26,15,0.000000
27,15,0.000000
28,15,0.000000
29,15,0.000000
30,15,0.000000
31,15,0.000000
32,15,0.000000
33,15,0.000000
34,15,0.000000
35,15,0.000000
36,15,0.000000
37,15,0.000000
38,15,0.000000
39,15,0.000000
40,15,0.000000
41,15,0.000000
42,15,0.000000
43,15,0.000000
44,15,0.000000
45,15,0.000000
46,15,0.000000
47,15,0.000000
48,15,0.000000
49,15,0.000000
50,15,0.000000
51,15,0.000000
52,15,0.000000
53,15,0.000000
54,15,0.000000
55,15,0.000000
56,15,0.000000
57,15,0.000000
58,15,0.000000
59,15,0.000000
60,15,0.000000
61,15,0.000000
62,15,0.000000
63,15,0.000000
64,15,0.000000
65,15,0.000000
66,15,0.000000
67,15,0.000000
68,15,0.000000
69,15,0.000000
70,15,0.000000
71,15,0.000000
72,15,0.000000
73,15,0.000000
74,15,0.000000
75,15,0.000000
76,15,0.000000
77,15,0.000000
78,15,0.000000
79,15,0.000000
80,15,0.000000
81,15,0.000000
82,15,0.000000
83,15,0.000000
84,15,0.000000
85,15,0.000000
86,15,0.000000
87,15,0.000000
88,15,0.000000
89,15,0.000000
90,15,0.000000
91,15,0.000000
92,15,0.000000
93,15,0.000000
94,15,0.000000
95,15,0.000000
96,15,0.000000
97,15,0.000000
98,15,0.000000
99,15,0.000000
100,15,0.000000
